IncAVG_RecastBuildCompressedLayers,			IncMAX_RecastBuildCompressedLayers,			IncAVG_RecastBuildLayers,			IncMAX_RecastBuildLayers,			IncAVGArray_Navigation_BuildTime,			IncMAXArray_Navigation_BuildTime,			IncAVGArray_Navigation_GenerateNavigationDataLayer,			IncMAXArray_Navigation_GenerateNavigationDataLayer,			IncAVGArray_RecastBuildRegions,			IncMAXArray_RecastBuildRegions
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1341,8.043099,0.0508,3.0488,0.0405,2.4273,0.039,2.3418,0.0192,1.1507
0.243,8.043099,0.088,3.0488,0.0686,2.4273,0.0664,2.3418,0.0324,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
0.2505,8.043099,0.0901,3.0488,0.0707,2.4273,0.0685,2.3418,0.0332,1.1507
